ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
EWN,2025-12-30,3,26,57.22700119018555,8152,True,10,0.233,18538.0,171100.0,79563.0,12,8,True,True,7,57.86,True,True,0.0677,0.064,False,True,True,True,True,9,0.0001514,0.00024763,False,0.82,1.44
GIGL,2025-12-30,3,26,51.27000045776367,4787,True,9,0.417,10814.0,34053.0,25919.0,7,13,True,True,8,64.92,True,True,0.0275,0.028,False,True,True,True,True,9,0.00010897,0.00017838,False,0.49,0.22
EMOP,2025-12-30,3,25,40.84600067138672,147,True,10,0.354,316.0,994.0,892.0,3,17,True,True,7,60.86,True,True,0.1107,0.0982,False,True,True,True,True,8,0.00023391,0.00018122,False,1.54,2.12
FSEP,2025-12-30,2,25,51.72999954223633,8495,True,10,0.399,16336.0,71067.0,40965.0,11,9,True,False,6,59.99,True,True,0.0358,0.0482,False,True,True,True,True,9,3.448e-05,6.047e-05,False,0.08,0.9
GRF,2025-12-30,2,25,10.800000190734863,121,True,9,0.432,4050.0,10695.0,9366.0,4,16,True,False,6,58.72,False,True,-0.0453,-0.0501,True,False,True,True,True,10,2.604e-05,0.00017519,True,0.88,8.0
GSEP,2025-12-30,2,25,38.86280059814453,23392,True,10,0.196,22374.0,175225.0,114085.0,8,12,True,False,6,60.85,True,True,0.0217,0.0285,False,True,True,True,True,9,1.654e-05,7.712e-05,False,0.02,0.84
GUMI,2025-12-30,2,25,50.375,1500,True,10,0.33,1400.0,6573.0,4245.0,9,11,True,False,6,59.48,True,True,-0.0002,0.0001,False,False,False,True,True,9,6.961e-05,0.0001825,False,0.25,0.13
FAUG,2025-12-30,2,24,53.130001068115234,12145,True,9,0.491,21020.0,75425.0,42782.0,12,8,True,False,6,61.84,True,True,0.0348,0.044,False,True,True,True,True,9,4.099e-05,0.00010517,False,0.12,1.05
GECCO,2025-12-30,2,24,25.0,0,True,10,0.02,1500.0,83017.0,74865.0,2,18,True,False,6,50.53,False,True,-0.0018,-0.0029,True,False,True,True,True,8,-3.35e-05,9.195e-05,True,-0.36,0.01
GIG,2025-12-30,2,24,10.529999732971191,71710,True,9,0.423,29475.0,79832.0,69760.0,4,16,True,False,6,62.5,True,True,0.0103,0.0105,False,True,True,True,True,9,1.565e-05,4.026e-05,False,0.33,0.38
GRAF,2025-12-30,2,24,10.729999542236328,5344,True,9,0.473,6506.0,17677.0,13767.0,7,13,True,False,5,52.13,False,True,-0.0034,-0.0045,True,False,True,False,True,10,1.31e-06,4.457e-05,True,0.04,0.28
HYAC,2025-12-30,2,24,11.390000343322754,25214,True,10,0.342,26283.0,93700.0,76846.0,5,15,True,False,5,60.42,False,True,0.0047,0.0048,False,True,True,True,True,9,1.064e-05,5.049e-05,False,0.14,0.84
IFBD,2025-12-30,3,24,0.9894000291824341,8317,True,10,0.387,7624.0,29564.0,19691.0,9,11,True,True,8,55.89,True,True,0.0181,0.0215,False,True,True,True,True,6,5.159e-05,-7.305e-05,False,8.86,8.01
FNOV,2025-12-30,2,23,55.060001373291016,16189,True,9,0.476,54649.0,154800.0,114739.0,8,12,True,False,5,60.43,False,True,0.0178,0.0265,False,True,True,True,True,9,3.437e-05,0.00011913,False,0.09,1.01
IFLO,2025-12-30,2,23,28.645000457763672,81,True,10,0.199,1067.0,11773.0,5349.0,12,8,True,False,4,67.76,True,False,0.0075,0.0097,False,True,True,True,True,9,2.457e-05,0.00010328,False,0.19,2.8
EMM,2025-12-30,2,22,33.958499908447266,4179,True,7,0.551,8200.0,20334.0,14874.0,9,11,True,False,6,58.84,True,True,0.0981,0.0932,False,True,True,True,True,9,0.00018889,0.00026917,False,1.33,2.97
EVAC,2025-12-30,2,22,10.029999732971191,5375,True,10,0.374,13525.0,51223.0,36144.0,8,12,True,True,7,63.64,True,True,0.0027,0.0019,False,True,True,False,False,5,1.228e-05,4.938e-05,False,0.24,-0.1
EVHY,2025-12-30,2,22,53.02399826049805,4023,True,10,0.166,2343.0,20433.0,14101.0,7,13,True,False,3,77.74,True,False,0.0072,0.008,False,True,True,True,True,9,7.703e-05,0.0002091,False,0.33,0.64
FAPR,2025-12-30,2,22,44.43000030517578,9996,True,10,0.273,11459.0,52153.0,41980.0,5,15,True,False,3,70.62,False,False,0.015,0.02,False,True,True,True,True,9,4.084e-05,0.00014734,False,0.21,0.95
FCSH,2025-12-30,2,22,24.540000915527344,3418,True,10,0.29,1180.0,5028.0,4066.0,5,15,True,False,3,80.0,True,False,0.006,0.005,False,True,True,True,True,9,4.763e-05,0.00010349,False,0.42,0.49
FDEC,2025-12-30,2,22,51.34000015258789,89564,True,10,0.342,47783.0,200875.0,139638.0,8,12,True,False,3,68.39,False,False,0.0397,0.055,False,True,True,True,True,9,2.235e-05,0.00010619,False,0.09,1.91
FEP,2025-12-30,2,22,53.970298767089844,45807,True,10,0.391,22513.0,80908.0,57550.0,8,12,True,False,3,79.6,False,False,0.0911,0.1052,False,True,True,True,True,9,0.00010421,0.00025318,False,0.57,5.74
