ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
MILK,2025-12-28,2,23,24.639999389648438,1900,True,9,0.418,True,False,6,50.32,True,True,0.0066,0.0015,False,True,True,True,True,8,-6.401e-05,4.45e-06,True,-0.83,-0.21
MCSE,2025-12-28,2,22,13.770000457763672,200,True,10,0.192,True,False,4,52.08,True,True,0.0245,0.0206,False,True,True,True,True,8,-4.46e-06,1.317e-05,True,-0.11,0.98
MGC,2025-12-28,2,22,254.07000732421875,58100,True,10,0.395,True,False,4,56.15,False,True,0.3916,0.3031,False,True,True,True,True,8,0.00010212,-3.264e-05,False,0.09,1.2
MRM,2025-12-28,2,22,2.2100000381469727,162900,True,9,0.43,True,False,3,56.34,False,True,0.0076,0.0049,False,True,True,True,True,10,3.1e-06,1.634e-05,True,2.33,8.87
MCR,2025-12-28,1,21,6.340000152587891,51500,False,5,0.673,True,False,6,60.1,True,True,0.0066,0.0043,False,True,True,True,True,10,-5.74e-06,6.12e-06,True,0.01,0.56
MCTR,2025-12-28,1,21,0.9156000018119812,58075,True,10,0.241,True,False,4,44.9,True,True,0.0295,0.0367,False,True,True,True,False,7,-5.62e-06,-0.00015082,False,1.7,-7.86
MKLY,2025-12-28,1,21,9.979999542236328,100,True,10,0.153,True,False,6,58.82,True,True,-0.0,-0.0003,True,False,True,False,False,5,-5.3e-05,-2.469e-05,False,-1.43,0.1
MIAX,2025-12-28,1,20,46.66999816894531,547500,True,7,0.541,True,False,6,60.62,True,True,0.4215,0.4389,False,True,True,True,False,7,0.00034659,-0.00063876,False,3.17,2.32
MSIF,2025-12-28,2,20,13.640000343322754,195600,False,3,1.07,True,True,8,42.69,True,True,-0.0577,-0.0842,True,False,True,True,True,9,7.294e-05,0.00028604,False,1.83,-4.08
MTVA,2025-12-28,1,20,9.1899995803833,13000,True,10,0.264,True,False,4,54.1,True,True,0.167,0.1977,False,True,True,True,False,6,0.00013846,-0.00031345,False,5.18,7.38
MAGN,2025-12-28,1,19,15.079999923706055,551700,False,3,0.993,True,True,9,64.35,True,True,-0.1333,-0.1377,True,False,True,True,False,7,3.413e-05,0.00032608,False,-0.42,6.5
MB,2025-12-28,1,19,7.03000020980835,90900,True,10,0.365,True,False,6,58.98,True,True,0.1586,0.1563,False,True,True,True,False,3,0.00016522,-1.739e-05,False,13.22,10.02
MDBH,2025-12-28,1,19,3.5,14300,False,3,1.123,True,False,6,57.2,True,True,0.0291,0.0239,False,True,True,True,True,10,6.7e-07,8.582e-05,True,1.82,-0.46
MQQQ,2025-12-28,2,19,187.05299377441406,4200,True,7,0.598,True,False,4,48.08,False,True,0.4765,0.3362,False,True,True,True,True,8,0.00067227,9.755e-05,False,0.92,1.16
MACI,2025-12-28,1,18,10.609999656677246,6500,True,10,0.305,True,False,3,53.33,False,True,-0.0004,0.0001,False,False,False,True,False,5,-5.78e-05,-4.079e-05,False,-1.43,0.28
MAIN,2025-12-28,1,18,60.77000045776367,365600,False,3,1.339,True,False,5,53.74,False,True,-0.1705,-0.2437,True,False,True,False,True,10,1.21e-06,0.00116513,True,0.06,5.67
MCH,2025-12-28,1,18,28.860000610351562,4400,False,3,0.948,True,False,5,51.52,True,True,0.0796,0.0579,False,True,True,True,True,10,-1.992e-05,0.00013864,True,0.08,2.02
MCHS,2025-12-28,1,18,33.016998291015625,300,False,3,1.415,True,False,5,60.35,True,True,0.0839,0.0693,False,True,True,True,True,10,1.389e-05,0.00013053,True,0.57,3.64
MDST,2025-12-28,1,18,26.295000076293945,36300,False,3,1.109,True,False,7,40.81,True,True,-0.0174,-0.0249,True,False,True,True,True,8,3.108e-05,-0.0001341,False,0.18,0.17
