ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
BKLN,2026-01-14,1,11,21.040000915527344,10043014,True,5,0.876,8419143.0,10014980.0,9616021.0,5,15,True,False,1,78.57,False,False,-0.0029,-0.0004,False,False,False,True,False,5,-9.1e-06,9.084e-05,False,-0.17,0.59
BKSY,2026-01-14,1,10,27.649999618530273,1541421,True,6,0.769,1109257.0,1621148.0,1441986.0,7,13,True,False,1,69.7,False,False,0.627,0.5909,False,True,True,True,False,3,0.00078785,0.0008863,False,10.7,53.87
BKR,2026-01-14,0,9,49.97999954223633,8351236,False,4,0.999,7770450.0,7789464.0,7779957.0,10,10,True,False,1,70.7,False,False,0.3902,0.3795,False,True,True,True,False,4,-0.00022269,0.00171004,True,-0.56,11.02
BKU,2026-01-14,0,9,45.20000076293945,1100997,False,0,1.04,764050.0,704740.0,734395.0,10,10,False,False,5,54.74,False,True,-0.1546,-0.1932,True,False,True,False,False,4,-0.0002068,0.00076549,True,-0.54,-0.11
BKKT,2026-01-14,1,8,21.010000228881836,2514567,True,5,0.849,1302630.0,1766057.0,1534343.0,10,10,True,False,1,87.65,False,False,1.2902,1.1998,False,True,True,True,False,2,0.00166499,0.00139974,False,27.52,88.43
BKV,2026-01-14,0,7,25.690000534057617,569785,False,1,0.905,672440.0,847900.0,742624.0,12,8,False,False,4,26.19,False,False,-0.2069,-0.2114,True,False,True,True,False,2,1.977e-05,-9.45e-05,False,-0.24,-0.54
BL,2026-01-14,0,0,52.90999984741211,1098408,False,0,1.046,665541.0,607560.0,636550.0,10,10,False,False,0,34.55,False,False,-0.2779,-0.0971,False,False,False,False,False,0,-0.00083096,-0.0030368,False,-4.27,-8.03
