ticker,stock_name,scan_date,signals_met,total_score,alert_triggered,price,step1_signal,step1_score,step2_signal,step2_score,step3_signal,step3_score,caught_breakout,days_early
CVNA,Carvana,2025-11-11,0,8,False,326.8800048828125,False,0,False,4,False,4,False,
CVNA,Carvana,2025-11-12,0,6,False,328.19000244140625,False,0,False,4,False,2,False,
CVNA,Carvana,2025-11-13,0,7,False,318.5400085449219,False,0,False,4,False,3,False,
CVNA,Carvana,2025-11-14,0,3,False,318.30999755859375,False,0,False,1,False,2,False,
CVNA,Carvana,2025-11-15,0,3,False,318.30999755859375,False,0,False,1,False,2,False,
CVNA,Carvana,2025-11-16,0,3,False,318.30999755859375,False,0,False,1,False,2,False,
CVNA,Carvana,2025-11-17,0,6,False,323.1199951171875,False,0,False,0,False,6,False,
CVNA,Carvana,2025-11-18,0,5,False,317.2200012207031,False,0,False,0,False,5,False,
CVNA,Carvana,2025-11-19,0,8,False,329.75,False,0,False,4,False,4,False,
CVNA,Carvana,2025-11-20,0,9,False,313.25,False,0,False,5,False,4,False,
CVNA,Carvana,2025-11-21,0,4,False,309.8800048828125,False,0,False,4,False,0,False,
CVNA,Carvana,2025-11-22,0,4,False,309.8800048828125,False,0,False,4,False,0,False,
CVNA,Carvana,2025-11-23,0,4,False,309.8800048828125,False,0,False,4,False,0,False,
CVNA,Carvana,2025-11-24,0,8,False,330.8999938964844,False,0,False,3,False,5,False,
CVNA,Carvana,2025-11-25,0,8,False,351.2300109863281,False,0,False,4,False,4,False,
