ticker,date,total_score,alert_level,alert_text,volume_score,momentum_score,rs_score,red_volume_ratio,price_above_ema,red_day_avg_volume,green_day_avg_volume,rsi_current,rsi_slope,macd_histogram,obv_days_rising,rs_slope,outperformance,current_price,volume
BEP,2026-01-30,17,watch_list,WATCH LIST,3,8,6,0.912,True,517470.0,617440.0,72.87,4.769,0.182,3,0.00041664,5.63,29.829999923706055,1236297
BEPC,2026-01-30,17,watch_list,WATCH LIST,3,8,6,0.951,True,943420.0,1039892.0,67.92,4.784,0.2465,3,0.00055967,6.01,41.63999938964844,2190316
BIIB,2026-01-30,17,watch_list,WATCH LIST,3,8,6,1.155,True,1803625.0,1400736.0,41.03,-1.735,0.3055,5,0.00236075,4.02,179.88999938964844,1486529
BEKE,2026-01-30,15,watch_list,WATCH LIST,3,7,5,1.012,True,5410238.0,5222029.0,67.07,2.514,0.1436,2,0.00037185,3.19,18.719999313354492,5958688
BGC,2026-01-30,15,watch_list,WATCH LIST,3,10,2,0.972,True,1835957.0,1918573.0,60.1,2.741,0.01,3,1.563e-05,0.0,9.109999656677246,2437254
BHP,2026-01-30,15,watch_list,WATCH LIST,3,8,4,1.134,True,5146195.0,4132517.0,69.0,1.888,0.3914,4,0.0005622,1.53,68.7300033569336,5691058
BEN,2026-01-30,14,skip,SKIP,3,6,5,0.887,True,5064333.0,5982677.0,59.49,-0.147,-0.0032,4,0.00037978,4.3,26.6200008392334,24414479
BERZ,2026-01-30,14,skip,SKIP,0,9,5,0.882,False,1245217.0,1484212.0,57.84,2.151,0.0107,2,2.766e-05,3.84,2.7799999713897705,1722171
BINC,2026-01-30,14,skip,SKIP,3,8,3,1.093,True,2369014.0,2059685.0,66.67,0.524,0.0036,5,5.589e-05,0.24,53.130001068115234,1582805
BILI,2026-01-30,13,skip,SKIP,5,4,4,0.848,True,3182189.0,4326460.0,65.62,-1.416,0.2365,3,0.00027796,1.63,34.040000915527344,3058294
BIDU,2026-01-30,11,skip,SKIP,6,5,0,0.719,True,2818934.0,5271122.0,62.2,1.885,-0.6564,2,-0.00076007,-1.75,153.17999267578125,2046977
BFH,2026-01-30,10,skip,SKIP,3,2,5,1.073,True,1122444.0,982873.0,37.74,0.197,-0.2021,2,0.00124105,3.47,72.54000091552734,1150607
BIL,2026-01-30,10,skip,SKIP,3,4,3,1.015,True,8831860.0,8656025.0,100.0,-0.0,-0.001,4,7.823e-05,0.18,91.6500015258789,14306070
BG,2026-01-30,9,skip,SKIP,5,3,1,0.789,True,1421300.0,1896498.0,83.93,-0.986,0.6415,2,-7.597e-05,0.1,113.87999725341797,2049676
BHVN,2026-01-30,8,skip,SKIP,6,2,0,0.838,True,2629611.0,4085957.0,54.97,-3.152,-0.0728,0,-0.0003373,-7.03,11.829999923706055,1752040
BFAM,2026-01-30,7,skip,SKIP,0,4,3,1.012,False,589964.0,565884.0,19.15,0.444,-0.4816,2,0.00011298,0.21,92.62999725341797,560303
BGS,2026-01-30,7,skip,SKIP,0,6,1,1.027,False,1769236.0,1664911.0,57.94,-1.415,0.0124,3,-1.743e-05,0.57,4.369999885559082,1103802
BGL,2026-01-30,5,skip,SKIP,0,5,0,1.389,False,4500743.0,2561950.0,56.29,-3.104,0.1263,1,-0.00045107,-29.99,2.880000114440918,540946
BFLY,2026-01-30,2,skip,SKIP,0,2,0,0.89,False,5073288.0,6470878.0,48.69,-2.735,-0.0864,1,-0.00017489,-10.5,3.9600000381469727,4544666
BHC,2026-01-30,2,skip,SKIP,0,2,0,1.037,False,2380900.0,2097422.0,11.16,-3.0,-0.1788,1,-3.252e-05,-0.92,5.739999771118164,2213532
BFRG,2026-01-30,0,skip,SKIP,0,0,0,1.229,False,1925439.0,491320.0,35.68,-1.304,-0.0027,1,-4.721e-05,-17.46,0.6100000143051147,231692
BHAT,2026-01-30,0,skip,SKIP,0,0,0,1.48,False,1022453.0,193712.0,29.13,-0.226,-0.0295,1,-6.935e-05,-24.75,0.7889999747276306,728538
BHF,2026-01-30,0,skip,SKIP,0,0,0,0.899,False,714888.0,943500.0,39.94,-0.58,-0.0618,2,-3.115e-05,-0.29,64.05999755859375,485347
BILL,2026-01-30,0,skip,SKIP,0,0,0,0.997,False,2704459.0,2728750.0,23.36,-3.709,-0.6095,1,-0.00228521,-12.41,43.16999816894531,2051131
