ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_macd_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_outperformance
BMRA,2025-12-24,2,25,2.6500000953674316,69100,True,10,0.118,True,False,5,67.33,True,True,True,True,10,0.00011228,10.41
BIOA,2025-12-24,2,20,14.079999923706055,196900,True,7,0.56,True,False,3,82.08,True,True,True,True,10,0.00036068,11.37
CLYM,2025-12-24,2,20,4.849999904632568,323000,True,9,0.433,True,False,1,83.33,False,True,False,True,10,0.00014602,8.37
BFLY,2025-12-24,1,18,3.950000047683716,2276000,False,3,0.896,True,False,5,78.71,True,True,True,True,10,0.00017237,12.13
BHM,2025-12-24,1,18,10.199999809265137,14800,False,3,1.012,True,False,5,58.01,True,True,True,True,10,0.0005329,19.22
CMTL,2025-12-24,1,18,4.440000057220459,319300,False,3,1.029,True,False,5,69.1,True,True,True,True,10,0.00052466,41.8
BGSF,2025-12-24,1,17,4.78000020980835,29500,False,3,0.904,True,False,5,64.81,True,True,True,True,9,8.268e-05,5.54
BLIV,2025-12-24,1,17,3.6700000762939453,22500,False,3,3.208,True,False,5,56.05,True,True,True,True,9,5.759e-05,5.58
BNED,2025-12-24,1,17,9.489999771118164,210900,False,3,1.122,True,False,5,57.46,True,True,False,True,9,0.00028658,6.35
BNTC,2025-12-24,1,17,13.050000190734863,69500,False,3,0.961,True,False,4,49.05,True,True,True,True,10,0.00060018,12.32
BOSC,2025-12-24,1,17,4.650000095367432,26900,False,3,0.995,True,False,4,42.75,True,True,True,True,10,0.00014903,10.23
BRN,2025-12-24,1,17,1.1399999856948853,22200,False,3,0.981,True,False,5,47.5,True,True,True,True,9,2.879e-05,5.19
CCO,2025-12-24,1,17,2.25,814600,False,3,1.285,True,False,5,76.6,True,True,True,True,9,6.683e-05,6.87
CDE,2025-12-24,1,17,18.719999313354492,12136700,False,3,0.971,True,False,5,70.22,True,True,True,True,9,0.00043995,6.99
