ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_macd_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_outperformance
CELT,2025-12-24,1,17,11.09000015258789,13400,False,3,0.718,True,False,4,56.82,True,True,True,True,10,0.00045829,12.68
CLLS,2025-12-24,1,17,4.840000152587891,51200,False,3,0.823,True,False,4,50.16,True,True,True,True,10,0.00022856,13.99
CMPS,2025-12-24,1,17,6.84499979019165,868200,False,3,1.04,True,False,5,71.3,True,True,True,True,9,0.0002071,7.87
CNCK,2025-12-24,2,17,3.059999942779541,288000,True,7,0.222,False,False,0,27.08,False,True,True,True,10,0.00029786,41.3
CNL,2025-12-24,1,17,15.210000038146973,10800,False,3,0.821,True,False,4,88.93,True,True,True,True,10,0.00054104,10.23
CNTB,2025-12-24,1,17,2.7300000190734863,162000,False,3,1.037,True,False,4,57.48,True,True,True,True,10,0.00015325,16.34
BULZ,2025-12-24,1,16,275.3699951171875,57400,False,3,1.15,True,False,3,50.6,False,True,True,True,10,0.00752153,9.11
CALC,2025-12-24,1,16,6.210000038146973,17500,False,3,0.84,True,False,3,71.69,True,True,True,True,10,0.00030406,24.38
CDIO,2025-12-24,1,16,3.4200000762939453,10300,False,3,0.719,True,False,3,56.57,True,True,True,True,10,0.00016837,18.92
CIEN,2025-12-24,1,16,240.27999877929688,833200,False,3,0.913,True,False,3,68.33,False,True,True,True,10,0.00821077,11.68
BEGS,2025-12-24,1,15,23.420000076293945,1300,False,3,1.447,True,False,3,57.36,True,True,True,True,9,0.00045229,5.83
BINI,2025-12-24,1,15,0.10000000149011612,146200,False,0,1.684,False,False,5,46.67,True,True,True,True,10,5.13e-06,40.5
BITF,2025-12-24,1,15,2.6700000762939453,12724400,False,0,0.977,False,False,5,35.76,True,True,True,True,10,0.00011383,15.26
BTDR,2025-12-24,1,15,11.489999771118164,1672400,False,0,1.01,False,False,5,40.71,True,True,True,True,10,0.00038665,12.43
CARL,2025-12-24,1,15,13.8100004196167,49500,False,3,1.086,True,False,3,44.25,True,True,True,True,9,0.00035058,7.59
CAVA,2025-12-24,1,15,61.720001220703125,2857900,False,3,0.813,True,False,3,74.63,False,True,True,True,9,0.00152778,7.78
CNTY,2025-12-24,1,15,1.4500000476837158,105400,False,0,0.988,False,False,5,55.77,True,True,False,True,10,2.662e-05,9.18
BENF,2025-12-24,1,14,8.8100004196167,113500,False,3,0.98,True,False,1,63.15,False,True,True,True,10,0.00130806,69.38
BFRE,2025-12-24,1,14,30.219999313354492,100,True,10,0.183,True,False,4,59.85,True,True,False,False,0,-4.011e-05,0.11
BGMSP,2025-12-24,1,14,3.75,2300,False,0,1.276,False,False,4,50.0,True,True,True,True,10,0.00017568,13.03
BKSY,2025-12-24,1,14,21.219999313354492,766100,False,3,0.863,True,False,1,58.0,False,True,True,True,10,0.00128995,19.11
BMRN,2025-12-24,1,14,60.15999984741211,1209200,False,3,0.758,True,False,1,67.95,False,True,True,True,10,0.00192585,13.45
BNKU,2025-12-24,1,14,36.630001068115234,15300,False,3,0.79,True,False,1,82.0,False,True,True,True,10,0.00113708,10.11
BQ,2025-12-24,1,14,2.140000104904175,80300,True,7,0.145,False,False,1,39.19,False,True,True,False,6,3.953e-05,3.06
BSMZ,2025-12-24,1,14,25.43600082397461,900,True,9,0.496,True,False,5,67.16,True,True,True,False,0,-0.00018684,-2.12
BTG,2025-12-24,0,14,4.730000019073486,17380400,False,3,1.024,True,False,5,59.14,True,True,True,False,6,6.514e-05,2.99
BWAY,2025-12-24,1,14,19.290000915527344,40800,False,3,0.779,True,False,1,65.41,False,True,True,True,10,0.00112684,16.79
CANE,2025-12-24,0,14,9.890000343322754,153900,False,3,0.999,True,False,5,61.29,True,True,True,False,6,8.429e-05,2.63
CBUS,2025-12-24,1,14,1.75,51400,False,3,0.834,True,False,1,57.45,False,True,True,True,10,4.326e-05,11.28
CCCX,2025-12-24,1,14,17.950000762939453,1690200,False,3,0.711,True,False,1,65.99,False,True,True,True,10,0.0017197,32.2
CCCXU,2025-12-24,1,14,19.799999237060547,1400,False,3,1.333,True,False,1,61.04,False,True,True,True,10,0.00172629,28.77
CCD,2025-12-24,0,14,21.670000076293945,42200,False,3,0.951,True,False,5,59.92,True,True,True,False,6,0.00013792,2.33
CDLX,2025-12-24,1,14,1.2200000286102295,1338700,False,0,1.049,False,False,4,50.69,True,True,True,True,10,5.958e-05,18.43
CDRO,2025-12-24,1,14,8.09000015258789,8900,False,3,0.821,True,False,4,79.17,True,True,True,True,7,0.00011277,5.08
CEFD,2025-12-24,1,14,19.23200035095215,300,True,9,0.465,True,False,5,54.2,True,True,True,False,0,-4.412e-05,-0.52
CENX,2025-12-24,1,14,39.310001373291016,1055700,False,3,0.846,True,False,1,84.95,False,True,True,True,10,0.00170657,13.91
CGAU,2025-12-24,0,14,14.90999984741211,550900,False,3,0.964,True,False,5,74.92,True,True,True,False,6,0.00023557,4.52
CHMI,2025-12-24,0,14,2.759999990463257,76400,False,3,0.809,True,False,5,78.85,True,True,True,False,6,5.073e-05,4.62
CLCO,2025-12-24,1,14,9.819999694824219,29200,True,10,0.324,True,False,4,65.38,True,True,False,False,0,-7.954e-05,-2.15
CLF,2025-12-24,0,14,13.75,4055200,False,3,1.016,True,False,5,64.04,True,True,True,False,6,0.00020808,3.57
CMCL,2025-12-24,1,14,27.09000015258789,92100,False,3,1.027,True,False,1,59.58,False,True,True,True,10,0.00074293,10.71
CMCT,2025-12-24,1,14,4.190000057220459,394600,False,0,1.376,False,False,4,51.93,True,True,True,True,10,0.00044865,37.78
BIB,2025-12-24,1,13,83.86000061035156,6100,False,3,1.031,True,False,1,55.45,False,True,True,True,9,0.0015524,6.26
BOEG,2025-12-24,1,13,15.347999572753906,30700,False,3,1.06,True,False,1,73.81,True,True,True,True,9,0.00032664,7.44
BOEU,2025-12-24,1,13,38.79600143432617,16500,False,3,0.901,True,False,1,74.34,False,True,True,True,9,0.00078961,7.09
C,2025-12-24,1,13,121.55999755859375,13529600,False,3,0.735,True,False,1,90.96,False,True,True,True,9,0.00223748,5.38
CADL,2025-12-24,1,13,6.079999923706055,345900,False,3,0.856,True,False,1,64.14,True,True,True,True,9,0.00015343,7.39
CAPR,2025-12-24,1,13,29.68000030517578,461600,False,3,1.759,True,False,0,65.07,False,False,True,True,10,0.00094681,10.97
CCL,2025-12-24,1,13,31.25,7559200,False,3,0.83,True,False,1,77.4,False,True,True,True,9,0.00067894,7.91
CLPT,2025-12-24,0,13,14.489999771118164,222200,False,3,0.944,True,False,4,54.22,True,True,True,False,6,0.00015247,3.8
CMCI,2025-12-24,1,13,26.42799949645996,100,True,9,0.487,True,False,4,54.01,True,True,True,False,0,5.237e-05,0.33
CMP,2025-12-24,1,13,20.200000762939453,188600,False,3,1.077,True,False,1,50.47,True,True,True,True,9,0.00038595,5.2
BH,2025-12-24,0,12,361.3900146484375,18300,False,3,1.038,True,False,3,82.65,False,True,True,False,6,0.00477201,3.76
BHC,2025-12-24,0,12,7.179999828338623,979700,False,5,0.663,True,False,1,43.98,False,True,True,False,6,0.00011083,2.92
BHST,2025-12-24,1,12,5.605000019073486,8800,False,0,1.062,False,False,5,36.99,True,True,True,True,7,8.945e-05,5.02
BLCN,2025-12-24,0,12,24.5,4300,False,3,0.977,True,False,3,46.27,True,True,True,False,6,0.00014542,2.41
BLOX,2025-12-24,1,12,18.600000381469727,195900,False,0,1.279,False,False,3,41.01,True,True,True,True,9,0.00029892,6.29
BRCB,2025-12-24,0,12,23.34000015258789,129800,False,5,0.616,True,False,1,44.48,False,True,True,False,6,0.00015081,2.12
BRKR,2025-12-24,1,12,48.119998931884766,680500,False,3,0.919,True,False,0,49.21,False,True,True,True,9,0.00084798,5.39
BSMC,2025-12-24,1,12,35.189998626708984,2100,True,9,0.437,True,False,3,68.03,True,True,False,False,0,-0.00012215,-0.95
BURL,2025-12-24,0,12,288.239990234375,319200,False,3,0.939,True,False,3,71.16,False,True,True,False,6,0.00348848,4.04
BVN,2025-12-24,0,12,29.510000228881836,334600,False,3,0.718,True,False,3,83.23,True,True,True,False,6,0.00032221,2.1
BWEN,2025-12-24,1,12,3.1500000953674316,95700,False,3,0.836,True,False,0,48.02,True,True,True,True,9,6.974e-05,6.26
CATX,2025-12-24,0,12,2.809999942779541,512900,False,3,1.183,True,False,3,64.38,True,True,True,False,6,1.654e-05,2.89
CDZI,2025-12-24,1,12,5.710000038146973,334900,False,3,0.942,True,False,0,45.56,True,True,True,True,9,0.00015456,7.03
CISO,2025-12-24,1,12,0.4569999873638153,150200,False,0,1.078,False,False,3,40.0,True,True,True,True,9,8.92e-06,6.45
CNXT,2025-12-24,0,12,44.5,10000,False,5,0.619,True,False,5,71.23,True,True,True,False,2,0.00025595,1.54
BHYB,2025-12-24,1,11,54.5099983215332,100,True,10,0.001,True,False,1,63.09,True,True,True,False,0,-0.00040011,-2.07
BKHY,2025-12-24,1,11,48.459999084472656,20300,True,10,0.277,True,False,1,56.45,False,True,True,False,0,-0.00036116,-2.08
BSBR,2025-12-24,0,11,6.119999885559082,297400,False,3,1.033,True,False,2,38.2,True,True,True,False,6,6.242e-05,2.26
BUFP,2025-12-24,1,11,30.21500015258789,19500,True,7,0.589,True,False,4,64.93,True,True,True,False,0,-0.0001317,-1.26
BWIN,2025-12-24,0,11,25.149999618530273,615300,False,0,1.232,False,False,5,46.43,True,True,True,False,6,0.00022711,2.96
CAMP,2025-12-24,1,11,5.920000076293945,206600,True,10,0.365,True,False,1,72.71,False,True,True,False,0,-0.00020043,-7.03
CEP,2025-12-24,1,11,14.270000457763672,2715242,False,0,1.045,False,False,1,52.27,False,True,False,True,10,0.00088528,13.94
CHEK,2025-12-24,1,11,1.7899999618530273,10012,True,10,0.33,True,False,1,52.97,True,True,False,False,0,-2.53e-05,-1.8
CNQ,2025-12-24,0,11,32.970001220703125,2817000,False,3,1.168,True,False,2,37.73,True,True,True,False,6,0.00029863,2.34
BELFA,2025-12-24,0,10,157.00999450683594,43000,False,3,1.639,True,False,1,63.42,False,True,True,False,6,0.00219466,4.13
BELFB,2025-12-24,0,10,176.1699981689453,66500,False,3,1.078,True,False,1,62.8,False,True,True,False,6,0.00159655,3.42
BETZ,2025-12-24,1,10,21.959999084472656,15300,True,9,0.414,True,False,1,65.94,False,True,True,False,0,-0.00014456,-1.81
BGRO,2025-12-24,0,10,38.87900161743164,200,False,3,1.111,True,False,5,54.06,True,True,True,False,2,0.00016359,1.27
BINV,2025-12-24,1,10,40.36000061035156,12500,True,9,0.479,True,False,1,71.82,True,True,True,False,0,-0.00022113,-1.62
BKCH,2025-12-24,1,10,70.58000183105469,24000,False,0,0.869,False,False,1,35.85,False,True,True,True,9,0.0009174,5.46
BLCR,2025-12-24,0,10,42.88800048828125,400,False,3,1.863,True,False,5,62.52,True,True,True,False,2,0.00016235,1.16
BN,2025-12-24,0,10,46.61000061035156,1272800,False,3,1.126,True,False,5,49.61,True,True,True,False,2,0.00029987,1.75
BNO,2025-12-24,0,10,28.709999084472656,105900,False,3,0.968,True,False,5,45.32,True,True,True,False,2,0.00021856,1.74
BNT,2025-12-24,0,10,46.66999816894531,10700,False,3,1.171,True,False,5,50.73,True,True,True,False,2,0.00030949,1.65
BOLD,2025-12-24,1,10,1.2100000381469727,70300,True,9,0.455,True,False,1,64.86,True,True,False,False,0,-2.943e-05,-7.08
BOTT,2025-12-24,0,10,41.702999114990234,4400,False,3,1.045,True,False,1,60.62,False,True,True,False,6,0.00048831,3.93
BTGD,2025-12-24,0,10,36.83399963378906,69300,False,3,1.091,True,False,1,49.71,False,True,True,False,6,0.00049691,3.91
BUUU,2025-12-24,0,10,8.390000343322754,5800,False,6,0.407,False,False,1,49.01,False,True,True,False,3,-1.534e-05,2.13
BUZZ,2025-12-24,0,10,33.77000045776367,62200,False,3,1.074,True,False,1,41.33,False,True,True,False,6,0.00017108,2.06
BW,2025-12-24,1,10,5.349999904632568,1487200,False,0,0.998,False,False,0,32.84,False,True,True,True,10,0.00012023,8.87
CAE,2025-12-24,0,10,31.459999084472656,263200,False,3,0.881,True,False,1,81.6,False,True,True,False,6,0.00050944,4.39
CCJ,2025-12-24,0,10,93.33999633789062,1151200,False,3,1.11,True,False,1,48.64,False,True,True,False,6,0.0014259,4.22
CDLR,2025-12-24,0,10,19.25,38900,False,3,1.379,True,False,1,59.44,True,True,True,False,6,0.00029594,4.77
CECO,2025-12-24,0,10,62.5099983215332,244500,False,3,1.381,True,False,1,69.43,False,True,True,False,6,0.00086417,3.95
CEF,2025-12-24,0,10,47.20000076293945,928600,False,3,1.029,True,False,1,84.84,False,True,True,False,6,0.00079611,3.9
CELH,2025-12-24,0,10,44.720001220703125,1231200,False,3,1.062,True,False,1,58.35,False,True,True,False,6,0.00079467,4.96
CFIT,2025-12-24,1,10,25.280000686645508,400,True,7,0.574,True,False,3,56.62,True,True,True,False,0,-0.00017463,-1.92
CGO,2025-12-24,0,10,11.569999694824219,12400,False,3,0.966,True,False,5,61.0,True,True,True,False,2,7.744e-05,1.78
CGTL,2025-12-24,1,10,1.0199999809265137,84400,True,10,0.192,True,False,0,59.46,False,False,False,False,0,-6.668e-05,-12.88
CHAT,2025-12-24,0,10,61.06999969482422,107900,False,3,1.181,True,False,1,48.64,False,True,True,False,6,0.00050436,2.75
CHAU,2025-12-24,0,10,20.969999313354492,66200,False,3,0.937,True,False,5,66.63,True,True,True,False,2,0.00011563,1.3
CHI,2025-12-24,0,10,10.899999618530273,104800,False,3,1.035,True,False,5,54.81,True,True,True,False,2,2.247e-05,1.06
CHPS,2025-12-24,0,10,47.19300079345703,1300,False,3,1.576,True,False,1,54.46,True,True,True,False,6,0.00033322,2.24
CHW,2025-12-24,0,10,7.440000057220459,56700,False,3,1.054,True,False,5,60.26,True,True,True,False,2,3.808e-05,1.26
CHY,2025-12-24,0,10,11.760000228881836,89300,False,3,0.909,True,False,5,63.08,True,True,True,False,2,6.69e-05,1.53
CHYM,2025-12-24,0,10,26.6299991607666,1223400,False,3,1.174,True,False,1,63.41,False,True,True,False,6,0.00027053,2.73
CLS,2025-12-24,1,10,308.5899963378906,649000,False,0,1.423,False,False,0,45.38,False,True,True,True,10,0.01022585,11.55
CLWT,2025-12-24,0,10,1.2400000095367432,2800,False,3,1.116,True,False,5,75.0,True,True,True,False,2,1.32e-05,1.84
CNEQ,2025-12-24,0,10,35.13999938964844,36500,False,3,1.259,True,False,5,50.92,True,True,True,False,2,0.00019041,1.73
BGIG,2025-12-24,0,9,32.650001525878906,145200,False,5,0.676,True,False,4,56.52,True,True,True,False,0,-0.00011404,-1.02
BKF,2025-12-24,0,9,43.91999816894531,7900,False,5,0.688,True,False,4,43.12,True,True,False,False,0,-0.00024466,-1.37
BKV,2025-12-24,0,9,27.3700008392334,205200,False,3,0.788,True,False,0,42.08,True,True,True,False,6,0.00032682,2.83
BNC,2025-12-24,1,9,6.679999828338623,300000,False,0,0.732,False,False,0,44.47,False,True,True,True,9,1.363e-05,6.08
BRKRP,2025-12-24,0,9,371.75,2400,False,3,1.063,True,False,0,49.47,False,True,True,False,6,0.00511036,3.91
BRNY,2025-12-24,0,9,51.13600158691406,26800,False,5,0.7,True,False,4,66.14,True,True,True,False,0,-5.785e-05,-0.26
BSCP,2025-12-24,0,9,20.674999237060547,0,False,3,1.212,True,False,0,67.81,False,False,False,False,6,0.00016724,2.52
BSJP,2025-12-24,0,9,23.040000915527344,0,False,3,0.876,True,False,0,62.72,False,False,False,False,6,0.00018869,2.58
BSMP,2025-12-24,0,9,24.485000610351562,0,False,3,1.287,True,False,0,47.44,False,False,False,False,6,0.00020301,2.57
BULLW,2025-12-24,1,9,3.125,900,True,7,0.31,False,False,0,33.25,False,True,False,False,2,3.98e-06,1.12
BYFC,2025-12-24,0,9,6.059999942779541,23200,False,0,1.023,False,False,3,41.62,True,True,False,False,6,5.749e-05,3.59
CANC,2025-12-24,0,9,35.630001068115234,5500,False,3,1.129,True,False,4,53.88,True,True,True,False,2,0.00021617,1.9
CIB,2025-12-24,0,9,64.3499984741211,131000,False,3,1.209,True,False,0,49.74,False,True,True,False,6,0.00044498,2.28
CING,2025-12-24,0,9,4.039999961853027,56500,False,3,1.036,True,False,0,52.81,False,False,True,False,6,3.261e-05,2.31
CLDX,2025-12-24,0,9,26.829999923706055,221200,False,3,1.031,True,False,0,32.96,False,True,True,False,6,0.00037554,3.73
BEEX,2025-12-24,0,8,26.030000686645508,2100,False,3,1.717,True,False,5,56.01,True,True,True,False,0,-1.771e-05,-0.25
BELT,2025-12-24,0,8,34.02199935913086,100,False,3,1.181,True,False,5,48.06,True,True,True,False,0,2.894e-05,0.18
BFEB,2025-12-24,0,8,48.91999816894531,600,False,3,2.303,True,False,5,66.34,True,True,True,False,0,-0.00013089,-0.74
BFIX,2025-12-24,0,8,25.354999542236328,3100,False,3,1.41,True,False,5,62.46,True,True,True,False,0,-0.00016955,-2.02
BFLB,2025-12-24,0,8,51.29100036621094,7500,False,3,1.241,True,False,5,62.51,True,True,True,False,0,-0.0001796,-1.04
BFOC,2025-12-24,1,8,18.270999908447266,100,True,7,0.261,False,False,1,35.65,False,True,False,False,0,-0.00011986,-1.66
BFRZ,2025-12-24,0,8,26.989999771118164,24600,False,3,0.94,True,False,5,57.4,True,True,True,False,0,-9.349e-05,-0.93
BGLD,2025-12-24,0,8,25.09000015258789,11200,False,3,1.672,True,False,5,78.37,True,True,True,False,0,-4.094e-05,-0.96
BGT,2025-12-24,0,8,11.359999656677246,110900,False,3,1.04,True,False,5,67.85,True,True,True,False,0,-4.082e-05,-1.02
BHK,2025-12-24,0,8,9.520000457763672,329600,False,3,1.075,True,False,5,61.05,True,True,False,False,0,-6.598e-05,-2.09
BHR,2025-12-24,1,8,2.880000114440918,402000,True,7,0.535,True,False,1,64.71,False,True,True,False,0,-2.243e-05,-0.23
BIGY,2025-12-24,0,8,53.37300109863281,2100,False,3,1.119,True,False,5,56.2,True,True,True,False,0,-5.417e-05,-0.26
BILT,2025-12-24,0,8,25.861000061035156,3300,False,3,1.178,True,False,5,46.37,True,True,False,False,0,-0.00011837,-1.65
BJAN,2025-12-24,0,8,54.95500183105469,1100,False,5,0.675,True,False,3,66.75,True,True,True,False,0,-0.00027746,-1.39
BJK,2025-12-24,0,8,41.099998474121094,3300,False,3,1.091,True,False,5,70.19,True,True,True,False,0,-0.00017831,-1.32
BJUL,2025-12-24,0,8,50.9900016784668,3600,False,3,2.008,True,False,5,63.59,True,True,True,False,0,-0.00017978,-1.01
BJUN,2025-12-24,0,8,46.880001068115234,1500,False,3,1.672,True,False,5,66.93,True,True,True,False,0,-0.00022393,-1.3
BKCG,2025-12-24,0,8,36.70100021362305,2300,False,3,1.282,True,False,5,59.98,True,True,True,False,0,7.42e-06,-0.05
BKEM,2025-12-24,0,8,74.87799835205078,900,False,3,1.313,True,False,5,58.68,True,True,True,False,0,-4.174e-05,-0.03
BKGI,2025-12-24,0,8,40.5099983215332,25500,False,3,1.202,True,False,5,50.0,True,True,True,False,0,-0.00021313,-1.59
BKLN,2025-12-24,0,8,20.969999313354492,5636400,False,3,1.079,True,False,5,80.33,True,True,True,False,0,-0.00014681,-2.01
BKNU,2025-12-24,0,8,22.770999908447266,100,False,3,1.04,True,False,3,78.93,True,True,True,False,2,0.00010386,1.46
BKT,2025-12-24,0,8,11.020000457763672,88600,False,3,1.127,True,False,5,59.87,True,True,True,False,0,-6.681e-05,-1.92
BLGR,2025-12-24,0,8,29.663000106811523,4800,False,3,1.235,True,False,5,54.62,True,True,True,False,0,4.766e-05,0.42
BLUC,2025-12-24,0,8,29.062999725341797,4900,False,3,1.299,True,False,5,56.71,True,True,True,False,0,3.92e-06,0.01
BLW,2025-12-24,0,8,13.760000228881836,50900,False,3,0.933,True,False,5,51.62,True,True,True,False,0,-7.599e-05,-1.53
BME,2025-12-24,0,8,41.40999984741211,15500,False,3,1.036,True,False,5,61.41,True,True,True,False,0,-1.125e-05,-0.01
BMN,2025-12-24,1,8,25.799999237060547,7600,True,7,0.582,True,False,1,61.0,False,True,False,False,0,-0.00031714,-3.13
BNOV,2025-12-24,0,8,44.779998779296875,1500,False,3,0.97,True,False,5,59.6,True,True,True,False,0,-0.00011661,-0.77
BNRG,2025-12-24,0,8,0.6840000152587891,57200,False,0,0.848,False,False,2,23.39,True,True,True,False,6,5.95e-06,2.71
BOCT,2025-12-24,0,8,49.7599983215332,2800,False,3,1.186,True,False,5,60.94,True,True,True,False,0,-0.00014115,-0.79
BOUT,2025-12-24,0,8,37.459999084472656,1500,False,3,0.973,True,False,5,56.35,True,True,True,False,0,9.374e-05,0.64
BOW,2025-12-24,0,8,28.670000076293945,66600,False,3,0.976,True,False,5,68.86,True,True,True,False,0,-0.00025252,-3.8
BRIF,2025-12-24,0,8,30.358999252319336,3100,False,3,1.137,True,False,5,47.42,True,True,True,False,0,2.19e-05,0.25
BRX,2025-12-24,0,8,26.360000610351562,1268400,False,3,1.17,True,False,5,65.11,True,True,True,False,0,-4.218e-05,-0.66
BSBK,2025-12-24,0,8,8.399999618530273,10300,False,3,0.826,True,False,5,53.98,True,True,True,False,0,7.89e-06,0.33
BSEP,2025-12-24,0,8,49.56999969482422,3900,False,3,1.295,True,False,5,61.67,True,True,True,False,0,-0.000153,-0.88
BSMS,2025-12-24,0,8,23.479999542236328,26500,False,3,0.929,True,False,5,82.31,True,True,True,False,0,-0.00017807,-2.13
BSMY,2025-12-24,0,8,24.586000442504883,5600,False,3,1.138,True,False,5,76.82,True,True,True,False,0,-0.0001971,-2.22
BSR,2025-12-24,0,8,30.44300079345703,100,False,3,1.053,True,False,5,59.2,True,True,True,False,0,-0.00010447,-1.04
BSSX,2025-12-24,0,8,25.854999542236328,38300,False,3,0.878,True,False,5,68.39,True,True,True,False,0,-0.00019319,-2.12
BST,2025-12-24,0,8,40.06999969482422,33000,False,3,1.058,True,False,5,55.77,True,True,True,False,0,4.618e-05,0.93
BSTP,2025-12-24,0,8,37.38999938964844,100,False,3,1.007,True,False,5,61.56,True,True,True,False,0,-9.521e-05,-0.74
BSTZ,2025-12-24,0,8,22.989999771118164,107300,False,3,0.998,True,False,3,65.1,True,True,True,False,2,8.893e-05,1.68
BSX,2025-12-24,0,8,96.12999725341797,2079600,False,3,1.109,True,False,5,43.95,True,True,False,False,0,-0.00073142,-2.34
BTR,2025-12-24,0,8,25.90999984741211,400,False,3,2.963,True,False,5,59.0,True,True,True,False,0,-8.076e-05,-0.96
BTX,2025-12-24,0,8,6.710000038146973,327200,False,3,1.193,True,False,5,51.16,True,True,True,False,0,1.414e-05,0.9
BTZ,2025-12-24,0,8,10.8100004196167,136500,False,3,0.812,True,False,5,54.2,True,True,True,False,0,-7.288e-05,-1.86
BUFB,2025-12-24,0,8,36.77000045776367,5100,False,3,1.048,True,False,5,63.66,True,True,True,False,0,-0.00014337,-1.15
BUFM,2025-12-24,0,8,39.46500015258789,800,False,3,0.96,True,False,5,63.79,True,True,True,False,0,-5.315e-05,-0.43
BUFZ,2025-12-24,0,8,26.579999923706055,50200,False,3,1.132,True,False,5,67.19,True,True,True,False,0,-0.00014192,-1.48
BXMX,2025-12-24,0,8,14.420000076293945,62800,False,3,0.897,True,False,5,59.49,True,True,True,False,0,-3.222e-05,-0.45
CA,2025-12-24,0,8,24.94499969482422,100,False,3,1.201,True,False,5,66.67,True,True,False,False,0,-0.00020296,-2.28
CALI,2025-12-24,0,8,50.42499923706055,24700,False,3,1.235,True,False,5,74.05,True,True,True,False,0,-0.00040262,-2.24
CALX,2025-12-24,0,8,54.619998931884766,346200,False,3,0.897,True,False,5,54.61,True,True,True,False,0,-9.659e-05,-0.76
CAM,2025-12-24,0,8,25.170000076293945,61400,False,3,0.769,True,False,5,76.6,True,True,True,False,0,-0.00019676,-2.24
CAML,2025-12-24,0,8,38.709999084472656,3300,False,3,1.061,True,False,5,47.39,True,True,True,False,0,2.035e-05,0.21
CAPE,2025-12-24,0,8,32.5099983215332,4000,False,3,0.775,True,False,5,64.48,True,True,True,False,0,-0.00020862,-1.82
CARK,2025-12-24,0,8,44.56800079345703,200,False,3,3.466,True,False,5,57.2,True,True,True,False,0,0.00014469,0.89
CASY,2025-12-24,0,8,567.8300170898438,121700,False,3,1.02,True,False,3,52.22,False,True,True,False,2,0.00249292,1.35
CATF,2025-12-24,0,8,50.11000061035156,4200,False,3,0.824,True,False,5,62.84,True,True,True,False,0,-0.00038208,-2.13
CATH,2025-12-24,0,8,83.69999694824219,16000,False,3,0.783,True,False,5,56.84,True,True,True,False,0,-2.066e-05,-0.07
CBON,2025-12-24,0,8,22.790000915527344,2000,False,3,0.95,True,False,5,79.38,True,True,True,False,0,-0.00015273,-1.92
CCEF,2025-12-24,0,8,28.760000228881836,5800,False,3,1.159,True,False,5,58.16,True,True,True,False,0,-6.696e-05,-0.65
CCIIW,2025-12-24,0,8,0.7120000123977661,0,False,3,1.415,True,False,5,59.06,True,True,False,False,0,-5.98e-06,-2.36
CCM,2025-12-24,1,8,3.930000066757202,7600,True,7,0.325,False,False,1,58.16,True,True,False,False,0,-0.00014222,-7.66
CDEI,2025-12-24,0,8,83.53299713134766,100,False,3,1.399,True,False,5,60.13,True,True,True,False,0,-1.798e-05,-0.09
CERY,2025-12-24,0,8,30.458999633789062,28200,False,3,1.124,True,False,5,59.45,True,True,True,False,0,9.294e-05,0.65
CFBK,2025-12-24,1,8,26.049999237060547,15800,True,7,0.54,True,False,1,75.85,False,True,True,False,0,-0.00046931,-3.65
