ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
EB,2026-01-15,2,22,4.460000038146973,657200,True,8,0.511,825567.0,1753335.0,1614170.0,3,17,True,False,5,55.56,False,True,-0.0572,-0.0592,True,False,True,False,True,9,6.42e-06,7.1e-06,False,0.26,0.45
EFC,2026-01-15,2,21,13.850000381469727,1170000,False,5,0.833,1555800.0,2074100.0,1866780.0,8,12,True,True,7,57.53,True,True,0.0121,0.005,False,True,True,True,True,9,6.754e-05,0.00011575,False,1.21,1.84
EIX,2026-01-15,2,21,61.52000045776367,3473500,False,5,0.842,2677975.0,3517117.0,3181460.0,8,12,True,True,7,62.09,True,True,0.1439,0.1211,False,True,True,True,True,9,0.0004957,0.00070339,False,1.13,4.85
DNOW,2026-01-15,3,20,14.34000015258789,2760100,True,6,0.775,1597609.0,2627244.0,2060945.0,11,9,True,True,7,58.16,True,True,0.0678,0.0191,False,True,True,True,True,7,0.00028688,0.00067868,False,5.94,2.28
CTOS,2026-01-15,2,19,6.400000095367432,813000,False,5,0.877,805982.0,1056967.0,918925.0,11,9,True,True,6,62.89,True,True,0.05,0.044,False,True,True,True,True,8,7.744e-05,3.902e-05,False,2.99,6.67
CVS,2026-01-15,1,19,81.36000061035156,10427700,False,4,0.964,6084644.0,6500955.0,6313615.0,9,11,True,False,5,62.9,False,True,0.0598,-0.0036,False,True,True,True,True,10,0.0002986,0.00061968,True,1.58,4.47
CWEN,2026-01-15,3,19,35.380001068115234,2804400,True,6,0.758,860391.0,1471089.0,1135205.0,11,9,True,True,6,61.39,False,True,0.1747,0.0099,False,True,True,True,True,7,0.00106857,0.00168514,False,10.72,8.56
DLO,2026-01-15,1,19,14.59000015258789,1159300,False,4,0.925,992933.0,1193050.0,1072980.0,12,8,True,False,5,56.83,False,True,-0.0236,-0.032,True,False,True,False,True,10,5.71e-05,0.00019621,True,2.08,4.21
DRH,2026-01-15,2,19,9.300000190734863,2442000,False,5,0.851,1827138.0,2358967.0,2146235.0,8,12,True,True,6,56.31,True,True,0.0022,0.003,False,True,True,True,True,8,2.208e-05,-0.0001005,False,0.8,1.21
EDBL,2026-01-15,2,19,0.6949999928474426,599200,True,7,0.163,476727.0,10243600.0,2918445.0,15,5,False,True,8,43.92,True,True,0.0187,0.0196,False,True,True,True,False,4,2.315e-05,-0.00010412,False,2.77,-45.28
