ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
CERT,2026-01-16,3,23,9.520000457763672,2029000,True,7,0.665,1398471.0,2481454.0,2102410.0,7,13,True,True,6,63.32,True,True,0.0671,0.0633,False,True,True,True,True,10,6.125e-05,0.00028182,True,2.3,7.45
CNDT,2026-01-16,2,22,2.069999933242798,749300,False,5,0.876,1022700.0,1245746.0,1167680.0,7,13,True,True,8,58.18,True,True,0.0144,0.0129,False,True,True,True,True,9,1.081e-05,5.375e-05,False,1.73,4.02
CCK,2026-01-16,2,21,104.77999877929688,867600,False,5,0.862,985867.0,1273900.0,1144285.0,9,11,True,True,6,55.9,False,True,-0.0969,-0.1021,True,False,True,True,True,10,7.17e-06,0.00077229,True,0.5,0.46
CFG,2026-01-16,3,21,60.61000061035156,5316000,True,6,0.793,3250222.0,4794227.0,4099425.0,9,11,True,True,6,54.24,False,True,-0.2367,-0.2535,True,False,True,True,True,9,9.032e-05,0.00069473,False,0.4,3.41
BGC,2026-01-16,2,20,8.949999809265137,1384300,False,4,0.913,1825480.0,2171920.0,1998700.0,10,10,True,True,8,45.45,True,True,-0.0148,-0.0277,True,False,True,True,True,8,0.00010646,0.00023047,False,3.26,0.45
BHVN,2026-01-16,2,20,11.920000076293945,3326700,False,5,0.869,3202890.0,4167440.0,3685165.0,10,10,True,True,7,56.81,True,True,0.1006,0.0766,False,True,True,True,True,8,0.00023405,0.00070365,True,7.55,9.66
BLV,2026-01-16,2,20,70.2699966430664,824600,False,4,0.98,820825.0,848175.0,837235.0,8,12,True,True,7,55.8,True,True,0.0843,0.0753,False,True,True,True,True,9,0.0002736,0.00032814,False,0.66,1.11
CBSH,2026-01-16,2,20,54.560001373291016,1151900,False,4,0.991,1058262.0,1074308.0,1067890.0,8,12,True,True,7,60.7,True,True,0.0619,0.0246,False,True,True,True,True,9,0.0004312,0.00095896,False,1.58,2.61
CLOV,2026-01-16,2,20,2.619999885559082,6987900,False,4,0.979,4953655.0,5191833.0,5060835.0,11,9,True,True,7,53.72,True,True,0.0258,0.0303,False,True,True,True,True,9,3.502e-05,6.183e-05,False,1.03,0.77
CM,2026-01-16,2,20,92.04000091552734,600400,False,4,0.921,1283610.0,1505160.0,1394385.0,10,10,True,True,8,47.45,True,True,-0.2649,-0.3254,True,False,True,True,True,8,0.00053763,0.00043489,False,1.69,0.49
