ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
HLF,2026-01-11,2,18,14.979999542236328,2713400,False,4,0.989,2100333.0,2142809.0,2123695.0,9,11,True,True,8,57.91,True,True,0.0087,-0.0547,False,True,True,True,True,6,0.0006516,0.00046629,False,15.11,5.79
HON,2026-01-11,2,17,207.3800048828125,5707700,True,5,0.879,3354114.0,4064523.0,3815880.0,7,13,True,False,3,64.56,False,True,0.9978,0.7577,False,True,True,True,True,9,0.00141979,0.00473364,False,2.2,6.98
HLMN,2026-01-11,2,16,9.819999694824219,1163000,True,5,0.898,1052178.0,1270300.0,1172145.0,9,11,True,False,4,66.81,True,False,0.091,0.0721,False,True,True,True,True,7,0.00018331,0.00020772,False,5.01,6.16
HMY,2026-01-11,1,16,20.690000534057617,2913100,False,4,0.908,3334760.0,4012500.0,3673630.0,10,10,True,False,5,52.76,False,True,-0.1059,-0.112,True,False,True,False,True,7,-3.573e-05,-0.00014055,False,1.1,0.53
HNGE,2026-01-11,1,16,47.91999816894531,850000,False,4,0.994,822900.0,833300.0,827580.0,11,9,True,True,8,49.42,True,True,0.1014,0.1388,False,True,True,True,False,4,0.00028261,-0.00110937,False,1.3,-3.76
HNI,2026-01-11,2,15,44.380001068115234,283900,False,0,1.426,1159833.0,530027.0,813440.0,9,11,True,True,6,61.54,True,True,0.1555,0.0965,False,True,True,True,True,9,0.00042327,0.00082869,False,2.91,5.12
HL,2026-01-11,1,14,22.450000762939453,20350800,True,7,0.696,18622289.0,33437018.0,26770390.0,9,11,True,False,3,66.1,True,False,0.0841,0.0093,False,True,True,False,False,4,0.00055929,0.00067778,True,12.86,16.02
HMC,2026-01-11,1,14,30.649999618530273,1528200,False,1,0.926,986950.0,1117633.0,1065360.0,8,12,False,True,8,58.56,True,True,0.0283,-0.0439,False,True,True,True,False,5,0.00014487,0.00085684,False,1.04,-0.55
HNRG,2026-01-11,2,14,19.56999969482422,322400,False,0,1.045,582717.0,519925.0,557600.0,12,8,False,True,8,61.51,True,True,-0.021,-0.0936,True,False,True,False,True,6,-5.432e-05,0.00095957,True,0.06,-14.13
HOG,2026-01-11,1,13,21.43000030517578,2443400,False,0,1.12,3186831.0,2208943.0,2844570.0,13,7,False,True,8,52.85,True,True,0.1872,0.1534,False,True,True,True,False,5,0.00019614,0.00029827,True,3.51,-4.12
HOMB,2026-01-11,1,13,28.450000762939453,1097200,False,0,1.088,1393817.0,1110525.0,1280500.0,12,8,True,True,9,46.06,True,True,-0.0088,-0.014,True,False,True,True,False,4,7.611e-05,-4.644e-05,False,0.36,-0.59
HLT,2026-01-11,1,12,300.3599853515625,2016900,False,4,0.902,1536188.0,1813492.0,1702570.0,8,12,True,False,1,65.14,False,False,0.3079,0.0045,False,True,True,True,True,7,0.00431766,0.00356517,False,4.18,7.97
HOLX,2026-01-11,1,12,74.87000274658203,1898900,False,0,1.211,3531950.0,2299150.0,2915550.0,10,10,True,True,8,46.85,True,True,-0.0334,-0.04,True,False,True,False,False,4,-0.00013254,-0.00041644,False,-0.76,0.05
HLNE,2026-01-11,1,11,148.25,420400,True,5,0.82,432544.0,604836.0,527305.0,9,11,True,False,1,77.44,False,False,0.9774,0.9337,False,True,True,True,False,5,0.0006899,0.00166113,False,1.53,11.67
HLX,2026-01-11,0,11,7.070000171661377,1526300,False,4,0.902,1489318.0,1848833.0,1651100.0,11,9,True,False,3,79.11,True,False,0.0785,0.0643,False,True,True,True,False,4,8.047e-05,0.00015536,False,3.51,-0.84
HIX,2026-01-11,0,7,4.179999828338623,140000,False,0,1.16,583380.0,422190.0,502785.0,10,10,True,False,2,65.36,False,False,0.0102,0.0117,False,True,True,False,False,5,-7.64e-06,-1.961e-05,False,-0.68,2.18
HOLO,2026-01-11,0,7,2.7699999809265137,797600,False,1,0.917,568864.0,683100.0,620270.0,11,9,False,False,5,44.83,True,True,0.0268,0.0358,False,True,True,False,False,1,-6.702e-05,-0.00012901,False,-8.28,-19.48
