ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
POWI,2026-01-05,3,22,37.720001220703125,1135000,True,7,0.672,880391.0,1836478.0,1310630.0,11,9,True,True,8,60.98,True,True,0.1088,0.0429,False,True,True,True,True,7,0.00075246,0.00136518,False,5.09,3.31
PAVE,2026-01-05,2,21,49.439998626708984,4986200,True,7,0.663,780167.0,1773400.0,1177460.0,12,8,True,False,5,56.54,False,True,0.0201,-0.0371,False,True,True,True,True,9,0.00035186,0.00090409,False,1.66,2.69
QDEL,2026-01-05,1,21,30.059999465942383,807900,False,5,0.868,685244.0,875136.0,789685.0,9,11,True,False,6,58.2,False,True,-0.0673,-0.1304,True,False,True,True,True,10,0.00017049,0.00091395,True,2.61,8.29
ONON,2026-01-05,1,20,49.0,5740100,False,5,0.872,3782667.0,4793309.0,4338520.0,9,11,True,False,6,51.38,False,True,-0.2853,-0.4315,True,False,True,True,True,9,0.0004161,0.00154472,True,3.26,1.79
PBW,2026-01-05,2,20,33.18000030517578,902500,False,5,0.817,494640.0,715810.0,605225.0,10,10,True,True,8,58.55,True,True,0.1083,0.0098,False,True,True,True,True,7,0.00074816,0.00173053,False,5.86,3.73
PCAR,2026-01-05,1,20,112.91999816894531,3146500,False,5,0.866,2795950.0,3880450.0,3229750.0,12,8,True,False,6,60.78,False,True,-0.3762,-0.4826,True,False,True,True,True,9,0.00061514,0.00180202,False,1.35,3.65
PDBC,2026-01-05,1,20,13.529999732971191,6644400,False,4,0.998,4857245.0,4879211.0,4867130.0,11,9,True,False,6,63.74,True,True,0.019,0.0082,False,True,True,True,True,10,4.648e-05,0.00012164,True,1.44,1.19
PDO,2026-01-05,2,20,13.899999618530273,987400,False,4,0.958,740875.0,822550.0,773545.0,12,8,True,True,8,61.9,True,True,-0.0025,-0.0029,True,False,True,True,True,8,1.65e-05,-4.196e-05,False,0.16,0.63
PH,2026-01-05,1,20,906.8900146484375,632300,False,5,0.893,486900.0,593073.0,545295.0,9,11,True,False,6,62.43,False,True,-0.6703,-1.7736,True,False,True,True,True,9,0.00628339,0.01487095,False,1.85,3.06
PHYS,2026-01-05,1,20,33.900001525878906,9123600,False,5,0.863,4146590.0,5467520.0,4807055.0,10,10,True,False,6,59.92,False,True,-0.0839,-0.1133,True,False,True,True,True,9,0.00023249,0.00043561,False,2.25,5.64
PNC,2026-01-05,1,20,215.8000030517578,3402600,False,5,0.87,1619640.0,2102420.0,1861030.0,10,10,True,False,6,62.49,False,True,-0.5522,-0.7744,True,False,True,True,True,9,0.00135671,0.00384944,False,1.83,9.07
PSEC,2026-01-05,2,20,2.7300000190734863,6124900,False,5,0.892,4014270.0,4989010.0,4501640.0,10,10,True,True,8,61.42,True,True,0.0263,0.0156,False,True,True,True,True,7,8.08e-05,8.577e-05,False,9.66,4.11
OMF,2026-01-05,1,19,70.1500015258789,882300,False,4,0.99,974891.0,995922.0,984355.0,11,9,True,False,6,57.63,False,True,-0.2003,-0.2848,True,False,True,True,True,9,0.0006668,0.00147259,False,2.25,8.51
OPRA,2026-01-05,1,19,14.539999961853027,827600,False,4,0.954,496300.0,556775.0,520490.0,12,8,True,False,5,54.91,False,True,0.0184,0.0105,False,True,True,True,True,10,-2.11e-06,0.00018871,True,0.02,5.29
ORA,2026-01-05,1,19,114.72000122070312,583400,False,5,0.855,501791.0,690233.0,586590.0,11,9,True,False,5,53.7,False,True,0.0654,-0.0782,False,True,True,True,True,9,0.00100835,0.0024068,False,1.88,1.85
PEB,2026-01-05,1,19,11.569999694824219,1898800,False,4,0.974,1793210.0,1889880.0,1841545.0,10,10,True,False,6,58.82,False,True,-0.0006,-0.0045,True,False,True,True,True,9,5.081e-05,0.00011176,False,0.89,7.42
PGRE,2026-01-05,2,19,6.599999904632568,6420507,True,6,0.796,1978050.0,2898346.0,2484213.0,9,11,True,False,5,53.85,False,True,0.0001,-0.0001,False,True,True,True,True,8,2.868e-05,2.468e-05,False,0.78,0.61
PLUG,2026-01-05,2,19,2.369999885559082,111910900,False,4,0.966,90134527.0,97116878.0,93276585.0,11,9,True,True,8,52.0,True,True,0.022,0.0014,False,True,True,True,True,7,0.00016047,0.00027863,False,20.32,7.73
PROP,2026-01-05,2,19,1.840000033378601,1426700,False,4,0.988,1437614.0,1497017.0,1455435.0,14,6,True,True,7,59.42,True,True,0.0208,0.0151,False,True,True,True,True,8,3.506e-05,9.861e-05,False,3.39,2.79
NXUS,2026-01-05,2,18,25.06999969482422,11789300,True,7,0.0,400.0,2870956.0,2583900.0,2,18,False,False,5,59.74,False,True,0.0079,0.0066,False,True,True,True,True,6,1.356e-05,-0.00012936,False,-0.0,0.1
