ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
DHC,2026-01-02,3,23,4.980000019073486,898727,True,7,0.655,620700.0,1164536.0,947001.0,8,12,True,True,8,60.42,True,True,-0.0203,-0.0321,True,False,True,True,True,8,9.081e-05,0.00020232,False,4.78,4.18
DTM,2026-01-02,2,23,120.98999786376953,377139,False,4,0.912,652664.0,792827.0,715737.0,11,9,True,True,9,59.36,True,True,-0.1781,-0.2128,True,False,True,True,True,10,0.00050259,0.00061867,True,1.46,0.23
ALHC,2026-01-02,3,22,20.219999313354492,2572143,True,6,0.756,2081912.0,3199229.0,2752302.0,8,12,True,True,9,58.75,True,True,-0.0898,-0.1486,True,False,True,True,True,7,0.00062116,0.00079595,False,8.7,4.23
ARDX,2026-01-02,3,22,6.150000095367432,8281036,True,6,0.799,2500970.0,3762644.0,3131807.0,10,10,True,True,9,56.61,True,True,-0.0007,-0.0242,True,False,True,True,True,7,0.00015205,0.00027989,False,8.18,3.89
ARTV,2026-01-02,2,22,4.230000019073486,131288,True,10,0.205,569839.0,4978780.0,2774309.0,10,10,True,False,6,57.96,True,True,0.0013,0.014,False,True,True,True,True,6,1.237e-05,5.369e-05,True,2.23,12.05
EBS,2026-01-02,2,22,12.510000228881836,500658,False,5,0.892,713238.0,857363.0,799713.0,8,12,True,True,8,62.46,True,True,-0.046,-0.0489,True,False,True,True,True,9,9.704e-05,0.0003059,False,1.68,3.82
AAPD,2026-01-02,2,21,13.170000076293945,2551132,True,9,0.498,348562.0,933819.0,699717.0,8,12,True,False,3,72.46,True,False,0.0315,0.0289,False,True,True,True,True,9,0.00011445,0.00014849,False,2.19,4.14
AMZD,2026-01-02,2,21,10.265000343322754,2426204,False,4,0.641,1688889.0,3412109.0,2636660.0,9,11,False,True,9,57.61,True,True,-0.0102,-0.0286,True,False,True,True,True,8,0.00013147,0.0002516,False,3.79,1.45
CG,2026-01-02,2,21,60.86000061035156,1565592,True,6,0.769,1809556.0,2797781.0,2353080.0,9,11,True,False,5,53.1,False,True,-0.0241,-0.0309,True,False,True,False,True,10,1.501e-05,0.00078026,True,0.66,8.1
CHRW,2026-01-02,2,21,163.72000122070312,1012013,True,6,0.796,1141418.0,1790913.0,1433691.0,11,9,True,False,5,59.13,False,True,-0.5673,-0.5961,True,False,True,False,True,10,-2.698e-05,0.00195066,True,0.48,4.0
DRH,2026-01-02,1,21,9.119999885559082,2139716,False,5,0.85,2053043.0,2608340.0,2413986.0,7,13,True,False,6,57.63,False,True,-0.0274,-0.0322,True,False,True,True,True,10,4.597e-05,6.642e-05,True,1.8,6.95
DVN,2026-01-02,2,21,37.869998931884766,8708826,False,5,0.899,6719150.0,8606116.0,7473936.0,12,8,True,True,9,53.05,True,True,-0.007,-0.1101,True,False,True,True,True,7,0.0008638,0.0009191,False,7.2,1.07
AMRZ,2026-01-02,1,20,55.43000030517578,1222944,False,5,0.826,2960489.0,4097686.0,3585947.0,9,11,True,False,5,45.11,False,True,-0.196,-0.2207,True,False,True,False,True,10,-1.787e-05,0.00056882,True,0.46,5.1
AMTM,2026-01-02,2,20,30.479999542236328,2345789,True,6,0.724,1481612.0,2420624.0,2045019.0,8,12,True,False,6,52.86,False,True,-0.1759,-0.255,True,False,True,True,True,8,0.00031717,0.00098348,False,3.56,4.21
AVT,2026-01-02,1,20,49.34000015258789,564067,False,5,0.848,652336.0,1042144.0,769278.0,14,6,True,False,5,41.0,False,True,-0.0919,-0.1333,True,False,True,False,True,10,9.818e-05,0.00049296,True,1.16,0.43
BC,2026-01-02,1,20,75.88999938964844,427060,False,5,0.833,553255.0,800462.0,664498.0,11,9,True,False,5,55.03,False,True,-0.2088,-0.21,True,False,True,False,True,10,8.543e-05,0.00093635,True,0.77,8.83
BNAI,2026-01-02,1,20,3.7699999809265137,96031643,True,10,0.051,664357.0,28040509.0,12983626.0,11,9,True,False,6,58.68,True,True,0.2115,0.094,False,True,True,True,False,4,0.00073205,0.001209,True,215.2,33.69
CANG,2026-01-02,1,20,1.409999966621399,650583,False,5,0.838,882799.0,1310062.0,1053704.0,12,8,True,False,6,57.72,True,True,0.0286,0.0303,False,True,True,True,True,9,3.231e-05,0.00010766,False,2.47,9.3
CIM,2026-01-02,2,20,12.739999771118164,651435,False,4,0.988,792720.0,811844.0,802282.0,10,10,True,True,7,55.54,True,True,0.0059,-0.012,False,True,True,True,True,9,0.00012583,0.00027773,False,2.89,2.1
COF,2026-01-02,1,20,247.92999267578125,2520331,False,5,0.843,2648750.0,3351895.0,3140952.0,6,14,True,False,5,64.58,False,True,-0.307,-0.3215,True,False,True,False,True,10,0.00016157,0.00389629,True,0.48,7.93
AAL,2026-01-02,1,19,15.479999542236328,41175521,False,4,0.969,50490125.0,53210618.0,52122421.0,8,12,True,False,6,56.7,False,True,-0.0898,-0.0903,True,False,True,True,True,9,0.00010547,0.00017249,False,1.29,7.95
ACVA,2026-01-02,1,19,8.289999961853027,3937354,False,4,0.979,2506858.0,2638907.0,2559678.0,12,8,True,False,5,54.3,False,True,0.0155,0.0113,False,True,True,True,True,10,7.59e-06,0.00014308,True,1.4,5.07
ADTN,2026-01-02,2,19,8.680000305175781,461263,True,6,0.704,826133.0,1597522.0,1173258.0,11,9,True,False,5,50.0,False,True,0.015,0.0277,False,True,True,True,True,8,1.844e-05,-8.822e-05,False,0.23,1.64
AFL,2026-01-02,1,19,110.23999786376953,1234403,False,5,0.865,2107012.0,2654550.0,2435535.0,8,12,True,False,6,57.66,True,True,0.0273,0.0451,False,True,True,False,True,8,0.00061679,4.341e-05,False,1.34,0.92
ALK,2026-01-02,1,19,51.52000045776367,1776760,False,5,0.879,2618400.0,3342196.0,2980298.0,10,10,True,False,5,45.3,False,True,-0.3991,-0.4404,True,False,True,False,True,9,0.00022974,0.00122239,False,1.09,8.88
AME,2026-01-02,1,19,209.13999938964844,879367,False,5,0.808,1106238.0,1543881.0,1368823.0,8,12,True,False,4,61.32,False,True,0.1536,0.1159,False,True,True,False,True,10,0.00060136,0.0023912,True,1.37,5.14
AMZE,2026-01-02,2,19,0.4122999906539917,1600743,False,4,0.969,2695400.0,2941120.0,2781402.0,13,7,True,True,8,53.21,True,True,0.0165,0.0135,False,True,True,True,True,7,3.081e-05,3.247e-05,False,24.11,6.54
ASH,2026-01-02,1,19,59.849998474121094,340380,False,4,0.985,800130.0,824868.0,812499.0,10,10,True,False,5,45.42,False,True,-0.3273,-0.367,True,False,True,False,True,10,0.00019127,0.00075429,True,1.29,2.68
ASIX,2026-01-02,2,19,17.219999313354492,253125,True,7,0.61,449375.0,891892.0,737011.0,7,13,True,False,4,58.28,False,True,0.1451,0.1764,False,True,True,False,True,8,4.51e-05,-0.000177,False,0.11,9.47
AVDL,2026-01-02,1,19,21.520000457763672,1063902,False,5,0.884,1228213.0,1497133.0,1389565.0,8,12,True,False,5,62.26,False,True,-0.0511,-0.052,True,False,True,False,True,9,7.213e-05,7.348e-05,False,0.71,0.75
CGMM,2026-01-02,1,19,29.219999313354492,647507,False,4,0.989,560842.0,576376.0,567055.0,12,8,True,False,5,42.56,False,True,-0.0468,-0.0478,True,False,True,False,True,10,-1.291e-05,0.00017776,True,0.19,1.57
CMI,2026-01-02,1,19,522.030029296875,552447,False,5,0.886,723464.0,930827.0,816777.0,11,9,True,False,5,49.2,False,True,-1.747,-2.2859,True,False,True,False,True,9,0.00246,0.00826358,False,1.59,2.21
COHR,2026-01-02,1,19,194.3300018310547,3437047,False,4,0.986,3882742.0,4022593.0,3938682.0,12,8,True,False,5,46.91,False,True,-0.8787,-1.2214,True,False,True,False,True,10,0.00093101,0.00626797,True,2.4,9.57
DD,2026-01-02,1,19,40.869998931884766,2943560,False,4,0.943,4413510.0,4944876.0,4679193.0,10,10,True,False,5,43.32,False,True,-0.1825,-0.1975,True,False,True,False,True,10,-3.873e-05,0.00030547,True,0.09,2.64
EFC,2026-01-02,1,19,13.680000305175781,1581322,False,5,0.826,1265008.0,1929190.0,1530681.0,12,8,True,False,5,55.9,False,True,-0.0109,-0.0127,True,False,True,False,True,9,3.857e-05,9.963e-05,False,0.82,1.32
EGY,2026-01-02,2,19,3.6600000858306885,809098,False,5,0.804,735143.0,1010500.0,914125.0,7,13,True,True,8,61.4,True,True,0.032,0.0283,False,True,True,True,True,6,8.962e-05,2.953e-05,False,6.81,2.81
ABEO,2026-01-02,1,18,5.309999942779541,1117187,False,5,0.885,1015762.0,1234841.0,1147209.0,8,12,True,False,5,44.62,False,True,0.0019,0.0051,False,True,True,True,True,8,-3.236e-05,0.00011634,True,-1.53,9.03
ABUS,2026-01-02,1,18,4.769999980926514,1599004,False,4,0.993,1335912.0,1354155.0,1345945.0,9,11,True,False,5,52.87,False,True,0.0103,0.0111,False,True,True,True,True,9,3.071e-05,0.00012868,False,0.83,8.16
ACHV,2026-01-02,2,18,4.96999979019165,554301,False,4,0.958,572873.0,628900.0,598085.0,11,9,True,True,8,58.54,True,True,0.0651,0.0493,False,True,True,True,True,6,0.00023745,0.00021684,False,11.72,3.97
ACIU,2026-01-02,1,18,3.359999895095825,460984,True,9,0.414,601730.0,2305878.0,1453804.0,10,10,True,False,5,55.38,False,True,0.0332,0.024,False,True,True,True,False,4,6.479e-05,0.00016658,True,8.38,16.67
AER,2026-01-02,2,18,144.6300048828125,608585,True,6,0.752,861221.0,1377527.0,1145189.0,9,11,True,False,3,63.72,False,True,-0.2638,-0.2287,False,False,False,True,True,9,0.00054861,0.00094828,False,0.93,3.37
AIQ,2026-01-02,1,18,51.43000030517578,1447420,False,4,0.918,1121652.0,1322570.0,1222111.0,10,10,True,False,4,48.43,False,True,0.0937,0.092,False,True,True,False,True,10,0.00010748,0.00026134,True,0.85,1.03
AIRR,2026-01-02,1,18,101.5199966430664,727017,False,3,0.753,419175.0,763352.0,556846.0,12,8,False,False,5,44.9,False,True,-0.0947,-0.2,True,False,True,False,True,10,0.00017558,0.00183449,True,1.27,1.97
AKR,2026-01-02,1,18,20.639999389648438,1137428,False,4,0.991,1315771.0,1334187.0,1327741.0,7,13,True,False,4,62.87,False,True,0.0459,0.0569,False,True,True,False,True,10,1.093e-05,0.00011355,True,0.18,5.57
AMBP,2026-01-02,1,18,4.150000095367432,491730,False,4,0.978,961338.0,997152.0,982826.0,8,12,True,False,6,55.88,False,True,-0.0091,-0.0114,True,False,True,True,True,8,4.092e-05,5.337e-05,False,3.25,6.96
AMLP,2026-01-02,1,18,47.43000030517578,1857705,False,4,0.986,1474417.0,1528138.0,1495905.0,12,8,True,True,9,51.62,True,True,-0.0246,-0.055,True,False,True,True,False,5,0.00033925,0.00036142,False,1.99,-1.35
ATYR,2026-01-02,2,18,0.7591000199317932,1154163,True,6,0.725,1481677.0,2286150.0,2044808.0,6,14,True,True,8,48.85,True,True,0.0057,0.0056,False,True,True,True,False,4,1.29e-05,1.337e-05,False,3.2,-8.32
AVDE,2026-01-02,1,18,83.16999816894531,810804,False,4,0.993,802642.0,817100.0,808425.0,12,8,True,False,5,64.47,False,True,0.0625,0.0528,False,True,True,True,True,9,0.00042241,0.00065319,False,1.47,3.48
AVNT,2026-01-02,1,18,31.709999084472656,806394,False,4,0.903,709860.0,861739.0,785800.0,10,10,True,False,4,57.02,False,True,0.0663,0.066,False,True,True,False,True,10,6.288e-05,0.00028256,True,0.85,3.39
BAC,2026-01-02,1,18,55.95000076293945,25261182,False,4,0.969,34430900.0,36660468.0,35545684.0,10,10,True,False,5,61.53,False,True,-0.023,-0.0386,True,False,True,False,True,9,0.00012433,0.0007165,False,0.64,3.84
BEAT,2026-01-02,2,18,2.430000066757202,1665974,True,9,0.439,14304142.0,47494927.0,32559074.0,9,11,True,False,3,54.39,False,True,-0.0402,-0.0281,False,False,False,True,True,6,-5.59e-06,0.00012639,True,0.62,237.5
BHC,2026-01-02,2,18,7.210000038146973,2005623,True,7,0.642,1483175.0,2859319.0,2308861.0,8,12,True,False,5,57.14,False,True,-0.0055,-0.0133,True,False,True,False,True,6,7.35e-06,0.00018961,True,1.17,-2.3
BIIB,2026-01-02,1,18,177.82000732421875,1095631,False,5,0.826,1864888.0,2520419.0,2258207.0,8,12,True,True,8,62.94,True,True,-0.3551,-0.4907,True,False,True,False,False,5,0.00085321,0.00176091,False,1.45,-2.29
BKD,2026-01-02,1,18,10.84000015258789,2017503,False,5,0.893,2399311.0,2920418.0,2685920.0,9,11,True,False,4,76.79,True,False,-0.0172,-0.0177,True,False,True,True,True,9,2.616e-05,0.00010257,False,0.58,1.88
BKSY,2026-01-02,1,18,20.81999969482422,1114211,False,5,0.866,1106160.0,1447521.0,1276841.0,10,10,True,False,5,54.26,False,True,0.1111,0.0456,False,True,True,True,True,8,0.00046317,0.00118414,True,8.85,8.16
BNL,2026-01-02,1,18,17.459999084472656,2040689,False,4,0.965,1840110.0,1974659.0,1907384.0,10,10,True,False,5,53.64,False,True,0.0494,0.0376,False,True,True,True,True,9,0.00017166,0.00022426,False,2.48,1.28
BTSG,2026-01-02,1,18,38.400001525878906,1402484,False,5,0.884,1611610.0,2033038.0,1822324.0,10,10,True,False,3,68.66,True,False,0.0457,0.0251,False,True,True,False,True,10,0.00029524,0.00071021,True,2.76,9.22
BYD,2026-01-02,2,18,86.19000244140625,427774,True,6,0.767,607710.0,976907.0,792309.0,10,10,True,False,2,63.23,False,True,-0.0624,-0.0488,False,False,False,False,True,10,0.00012057,0.00059276,True,0.56,6.15
CFG,2026-01-02,2,18,59.38999938964844,2820567,True,6,0.778,3566430.0,5605017.0,4585723.0,10,10,True,False,2,59.15,False,True,-0.1867,-0.1826,False,False,False,False,True,10,2.007e-05,0.00056318,True,0.3,6.28
CGTL,2026-01-02,1,18,1.2100000381469727,84627,True,10,0.17,281528.0,2573708.0,1656836.0,8,12,True,False,5,52.88,False,True,0.0035,0.0017,False,True,True,True,False,3,5.298e-05,5.59e-05,False,16.27,65.75
CLM,2026-01-02,2,18,8.420000076293945,4761307,True,6,0.742,1125386.0,1728301.0,1517280.0,7,13,True,False,3,73.04,True,False,0.0097,0.0071,False,True,True,True,True,9,5.636e-05,9.995e-05,False,1.75,2.95
CM,2026-01-02,1,18,91.87999725341797,808274,False,5,0.874,1207036.0,1594942.0,1381594.0,11,9,True,False,5,45.28,False,True,-0.3878,-0.404,True,False,True,False,True,8,-7.86e-05,0.00067426,True,-0.13,1.44
CRL,2026-01-02,1,18,202.4199981689453,407649,False,4,0.988,639960.0,655955.0,647957.0,10,10,True,False,4,63.51,False,True,0.0793,0.2405,False,True,True,False,True,10,-2.914e-05,0.0011483,True,0.43,9.99
CRON,2026-01-02,1,18,2.700000047683716,1351315,False,2,0.8,3371545.0,5242191.0,4213336.0,11,9,False,False,6,44.53,False,True,-0.0405,-0.0455,True,False,True,True,True,10,1.873e-05,6.927e-05,True,2.54,8.43
DAY,2026-01-02,1,18,69.2699966430664,1482437,False,4,0.994,3131900.0,3185848.0,3150782.0,13,7,True,False,6,58.21,False,True,-0.0146,-0.0201,True,False,True,True,True,8,0.00032033,0.00031976,False,1.19,0.23
DB,2026-01-02,1,18,39.59000015258789,1808202,False,4,0.945,1978483.0,2143172.0,2093765.0,6,14,True,False,5,57.24,False,True,0.0332,0.0143,False,True,True,True,True,9,0.00013962,0.00072963,False,0.86,9.88
DENN,2026-01-02,1,18,6.210000038146973,3123041,False,4,0.948,1822718.0,1988242.0,1922032.0,8,12,True,False,5,62.5,False,True,-0.0251,-0.0264,True,False,True,False,True,9,2.812e-05,3.268e-05,False,1.03,0.49
DFAI,2026-01-02,1,18,38.52000045776367,1284586,False,4,0.934,1074385.0,1291412.0,1150344.0,13,7,True,False,5,64.23,False,True,0.0254,0.0198,False,True,True,True,True,9,0.00018212,0.00031769,False,1.4,3.21
DFEM,2026-01-02,1,18,33.83000183105469,920357,False,5,0.869,798200.0,1039766.0,918983.0,10,10,True,False,4,68.7,True,False,0.1251,0.0891,False,True,True,True,True,9,0.00032824,0.00062601,False,2.93,4.26
DG,2026-01-02,2,18,136.82000732421875,3543369,True,6,0.74,3417112.0,5419864.0,4618763.0,8,12,True,False,2,59.43,False,True,-0.9042,-0.8806,False,False,False,False,True,10,-0.00040393,0.0012875,True,0.29,9.2
DJT,2026-01-02,1,18,13.770000457763672,13960421,True,8,0.56,9364400.0,27782453.0,16731621.0,12,8,True,False,5,62.29,False,True,0.132,0.1389,False,True,True,True,False,5,7.006e-05,0.00092968,False,1.03,16.79
DNN,2026-01-02,2,18,3.0299999713897705,67808805,False,2,0.88,34913900.0,44418710.0,39666305.0,10,10,False,True,8,60.63,True,True,0.0226,0.0011,False,True,True,True,True,8,0.00010523,0.00030351,True,13.67,6.69
EFG,2026-01-02,1,18,115.16999816894531,762148,False,4,0.983,748654.0,781162.0,761657.0,12,8,True,False,5,57.39,False,True,0.1694,0.1431,False,True,True,True,True,9,0.00051858,0.00099515,False,1.32,1.94
ELV,2026-01-02,1,18,354.25,653905,False,4,0.913,1389614.0,1593616.0,1522215.0,7,13,True,False,5,42.79,False,True,0.1207,-0.1323,False,True,True,True,True,9,0.00309742,0.00541565,False,2.28,6.77
ABBV,2026-01-02,1,17,229.30999755859375,3324416,False,5,0.845,4234150.0,5782572.0,5008361.0,10,10,True,False,2,62.17,False,True,0.4256,0.4915,False,True,True,False,True,10,0.00044746,0.00062511,True,0.74,0.26
ACP,2026-01-02,1,17,5.409999847412109,526169,False,4,0.962,680657.0,734470.0,707563.0,10,10,True,False,4,58.85,False,True,0.0086,0.0081,False,True,True,False,True,9,2.846e-05,6.434e-05,False,1.01,0.9
AHH,2026-01-02,1,17,6.639999866485596,480287,False,4,0.999,935943.0,938427.0,937309.0,9,11,True,False,6,44.69,False,True,-0.0143,-0.0204,True,False,True,True,True,7,8.733e-05,8.539e-05,False,3.63,4.49
AKRO,2026-01-02,1,17,54.650001525878906,0,False,5,0.877,2007448.0,2408181.0,2287961.0,6,14,True,False,3,69.05,False,False,0.0157,0.0174,False,True,True,True,True,9,2.005e-05,0.0002282,False,0.05,0.74
ALE,2026-01-02,2,17,67.9000015258789,4388747,False,0,1.091,1181745.0,1017041.0,1082923.0,8,12,True,True,7,64.86,True,True,0.0318,0.0266,False,True,True,False,True,10,0.00011998,0.00056062,True,0.91,0.59
ALLY,2026-01-02,2,17,45.7599983215332,2145895,True,7,0.693,1942520.0,3660160.0,2801340.0,10,10,True,False,2,49.42,False,True,-0.12,-0.0908,False,False,False,False,True,8,-1.883e-05,0.00031092,True,-0.05,7.87
APH,2026-01-02,1,17,139.7100067138672,6194549,False,4,0.984,6806356.0,7006659.0,6916522.0,9,11,True,False,3,51.36,True,True,0.5422,0.3329,False,True,True,False,True,10,0.0009986,0.00312609,True,2.69,0.37
ARCC,2026-01-02,2,17,20.440000534057617,4345145,False,0,1.17,5815190.0,4123094.0,4969142.0,10,10,True,True,8,51.96,True,True,0.0018,-0.016,False,True,True,True,True,9,0.00016572,0.00019279,False,2.22,0.01
AROC,2026-01-02,1,17,26.6299991607666,775423,False,5,0.838,1379957.0,1791194.0,1647261.0,7,13,True,False,5,54.57,False,True,0.0618,0.0334,False,True,True,True,True,7,0.00039025,0.0003855,False,4.61,5.93
ASTI,2026-01-02,1,17,4.059999942779541,836420,True,10,0.345,1038378.0,4317158.0,3005646.0,8,12,True,False,5,54.89,False,True,0.0136,0.0449,False,True,True,True,False,2,0.00018708,-0.00030362,False,14.76,109.28
AVUV,2026-01-02,1,17,103.12000274658203,953757,False,4,0.984,742069.0,776337.0,754063.0,13,7,True,False,3,29.22,False,False,-0.35,-0.3732,True,False,True,False,True,10,0.00010012,0.00057468,True,0.48,0.52
BBIO,2026-01-02,1,17,78.23500061035156,2406749,False,5,0.859,1507911.0,1958123.0,1755527.0,9,11,True,False,4,66.99,False,False,-0.2261,-0.3469,True,False,True,True,True,8,0.00116701,0.00232511,False,4.25,4.65
BHP,2026-01-02,1,17,61.7599983215332,2057258,False,4,0.901,2543025.0,3243857.0,2823358.0,12,8,True,False,4,54.22,False,True,0.0206,-0.0112,False,True,True,False,True,9,0.00022276,0.000864,False,0.82,4.73
BRKR,2026-01-02,1,17,48.11000061035156,1446028,False,5,0.875,1642883.0,2231116.0,1878176.0,12,8,True,False,6,57.82,True,True,-0.0543,-0.0729,True,False,True,False,True,6,4.085e-05,0.00063349,True,1.24,-0.45
BSBR,2026-01-02,1,17,6.210000038146973,777584,False,4,0.969,567807.0,612562.0,585709.0,12,8,True,True,8,59.59,True,True,0.021,0.0147,False,True,True,True,False,5,5.119e-05,5.452e-05,False,1.85,-5.05
BSCV,2026-01-02,1,17,16.69499969482422,400747,False,5,0.882,601311.0,832129.0,682097.0,13,7,True,False,4,58.23,False,True,0.0036,0.0056,False,True,True,False,True,8,6.005e-05,5.01e-05,False,0.91,0.35
CCTG,2026-01-02,2,17,0.14219999313354492,1328688,True,7,0.096,1002800.0,19894169.0,10448484.0,10,10,False,True,8,40.71,True,True,0.0163,0.0177,False,True,True,True,False,2,9.6e-07,-1.46e-06,False,10.42,-32.92
CDTX,2026-01-02,2,17,221.02999877929688,1425511,False,0,1.246,1120520.0,825654.0,899371.0,5,15,True,True,9,64.29,True,True,-3.3132,-3.4874,True,False,True,True,True,8,0.00108495,0.00107159,False,1.14,0.24
CGDG,2026-01-02,1,17,35.959999084472656,2004276,False,4,0.907,678308.0,851347.0,747524.0,12,8,True,False,4,57.66,False,True,0.024,0.0193,False,True,True,False,True,9,0.00013065,0.00022716,False,1.12,1.62
