ticker,date,signals_met,total_score,current_price,volume,step1_signal,step1_score,step1_red_volume_ratio,step1_red_day_avg_volume,step1_green_day_avg_volume,step1_20d_avg_volume,step1_red_day_count,step1_green_day_count,step1_price_above_ema,step2_signal,step2_score,step2_rsi,step2_rsi_divergence,step2_rsi_in_accumulation_zone,step2_macd_histogram,step2_macd_histogram_prev,step2_macd_improving_from_negative,step2_macd_histogram_positive,step2_macd_turning_positive,step2_obv_rising,step3_signal,step3_score,step3_rs_slope,step3_rs_slope_recent,step3_rs_just_turned_positive,step3_outperformance,step3_stock_change_20d
SGLY,2026-01-06,2,24,0.699999988079071,102400,True,10,0.104,69567.0,1156282.0,667260.0,9,11,True,True,8,59.32,True,True,0.0237,0.0203,False,True,True,True,False,6,5.455e-05,5.215e-05,False,26.57,9.38
RAL,2026-01-06,2,23,52.0,1614300,False,6,0.791,1004917.0,1669025.0,1270560.0,12,8,True,True,9,60.59,True,True,-0.1656,-0.2076,True,False,True,True,True,8,0.00016377,9.556e-05,False,0.82,1.31
SLI,2026-01-06,3,23,5.150000095367432,4154900,True,7,0.628,2435209.0,5641956.0,3878245.0,11,9,True,True,9,58.82,True,True,-0.023,-0.0528,True,False,True,True,True,7,0.00021545,0.00022372,False,12.74,9.34
SDVY,2026-01-06,2,22,39.779998779296875,1944600,False,5,0.83,986362.0,1563786.0,1188460.0,13,7,True,True,8,59.08,True,True,-0.0071,-0.0563,True,False,True,True,True,9,0.00034078,0.00041219,False,1.93,4.21
RDHL,2026-01-06,2,21,1.3700000047683716,685200,True,10,0.047,63010.0,2612070.0,1337540.0,10,10,True,True,8,62.5,True,True,0.0212,0.0084,False,True,True,True,False,3,0.00014874,0.00023632,False,32.31,15.13
RUSHA,2026-01-06,2,21,56.7599983215332,603900,False,5,0.838,445191.0,636989.0,531500.0,11,9,True,True,7,49.49,False,True,-0.2956,-0.437,True,False,True,True,True,9,0.00065096,0.00143531,False,2.86,4.34
SCHA,2026-01-06,2,21,29.700000762939453,3550800,False,4,0.992,3737945.0,3802156.0,3766840.0,11,9,True,True,8,61.87,True,True,0.002,-0.0484,False,True,True,True,True,9,0.00029187,0.00038722,False,2.68,3.52
SHO,2026-01-06,2,21,9.4399995803833,2639300,False,6,0.791,1468100.0,2115767.0,1856700.0,8,12,True,True,8,62.04,True,True,0.0378,0.0189,False,True,True,True,True,7,0.00014304,0.0001406,False,3.96,7.01
SN,2026-01-06,1,21,117.22000122070312,2004900,False,5,0.8,1041362.0,1474042.0,1300970.0,8,12,True,False,6,57.36,False,True,-0.6819,-0.9769,True,False,True,True,True,10,0.0005158,0.001395,True,2.41,7.4
RITM,2026-01-06,2,20,11.149999618530273,12909700,False,4,0.976,6466967.0,6758373.0,6627240.0,9,11,True,True,8,60.29,True,True,0.0236,0.0141,False,True,True,True,True,8,9.642e-05,2.25e-05,False,2.35,3.05
