ticker,stock_name,scan_date,signals_met,total_score,alert_triggered,price,step1_signal,step1_score,step2_signal,step2_score,step3_signal,step3_score,caught_breakout,days_early
CVNA,Carvana,2025-11-11,0,8,False,326.8800048828125,False,0,False,4,False,4,False,
CVNA,Carvana,2025-11-14,0,3,False,318.30999755859375,False,0,False,1,False,2,False,
CVNA,Carvana,2025-11-18,0,5,False,317.2200012207031,False,0,False,0,False,5,False,
CVNA,Carvana,2025-11-21,0,4,False,309.8800048828125,False,0,False,4,False,0,False,
TSLA,Tesla,2025-11-13,0,3,False,401.989990234375,False,1,False,2,False,0,False,
TSLA,Tesla,2025-11-17,0,6,False,408.9200134277344,False,1,False,1,False,4,False,
TSLA,Tesla,2025-11-20,0,4,False,395.2300109863281,False,0,False,0,False,4,False,
ASTS,AST SpaceMobile,2025-11-11,1,8,False,67.88999938964844,False,0,True,8,False,0,False,
ASTS,AST SpaceMobile,2025-11-14,0,3,False,61.400001525878906,False,0,False,3,False,0,False,
ASTS,AST SpaceMobile,2025-11-18,0,3,False,58.220001220703125,False,0,False,3,False,0,False,
ASTS,AST SpaceMobile,2025-11-21,0,3,False,51.369998931884766,False,0,False,3,False,0,False,
SNDK,SanDisk,2025-11-13,0,7,False,243.57000732421875,False,0,False,3,False,4,False,
SNDK,SanDisk,2025-11-17,0,11,False,265.8800048828125,False,4,False,1,False,6,False,
SNDK,SanDisk,2025-11-20,0,6,False,195.9600067138672,False,0,False,2,False,4,False,
